alpha3,name,country_code,year,fb,pop,fb_share,refugee,pob_code,disp,imm,disp_share
ERI,Eritrea,232,2020,13934,3546427,0.39290249030926055,199,232,802822,NA,0.2263748837914893
ETH,Ethiopia,231,1990,1155390,47887864,2.4126989669031804,741965,231,1689941,NA,0.035289546428715214
ETH,Ethiopia,231,1995,806904,57047906,1.4144322843331008,393479,231,816420,NA,0.014311130017638158
ETH,Ethiopia,231,2000,611384,66224808.99999999,0.9231948105731796,197959,231,445886,NA,0.006732914850686849
ETH,Ethiopia,231,2005,514451,76346310,0.6738387225263408,101026,231,524038,NA,0.006863959764394638
ETH,Ethiopia,231,2010,568748,87639962,0.6489596606625639,155323,231,680290,NA,0.007762326505801087
ETH,Ethiopia,231,2015,1161642,100835453,1.1520174357723172,738217,231,842496,NA,0.008355156593584203
ETH,Ethiopia,231,2020,1085517,114963583,0.944226833987942,734812,231,946129,NA,0.00822981482753543
KEN,Kenya,404,1990,298089,23724574,1.2564567018147512,14249,404,250332,NA,0.010551590936891005
KEN,Kenya,404,1995,618745,27768297,2.2282425169969913,234665,404,277647,NA,0.009998704637882546
KEN,Kenya,404,2000,707852,31964557,2.2144902555665014,214819,404,317434,NA,0.00993081180508774
KEN,Kenya,404,2005,773354,36624897,2.111552695970722,267731,404,362031,NA,0.009884833259735857
KEN,Kenya,404,2010,954925,42030684,2.2719711151976494,430871,404,442632,NA,0.010531163375785177
KEN,Kenya,404,2015,1126886,47878339,2.353644724391964,593881,404,480647,NA,0.010038923864923551
KEN,Kenya,404,2020,1050147,53771300,1.9529879322240675,489747,404,535348,NA,0.009956017429372174
MDG,Madagascar,450,1990,23917,11598647,0.20620508581733715,~,450,59415,NA,0.005122580245782116
MDG,Madagascar,450,1995,21177,13475403,0.1571529994316311,~,450,67324,NA,0.004996065794841163
MDG,Madagascar,450,2000,23541,15766806,0.14930734861581985,50,450,77089,NA,0.004889322542561886
MDG,Madagascar,450,2005,26058,18336722,0.14210827867707215,~,450,148805,NA,0.008115136391335376
MDG,Madagascar,450,2010,28905,21151640,0.13665607016760875,~,450,160819,NA,0.0076031456662462105
MDG,Madagascar,450,2015,32075,24234080,0.13235493156744552,22,450,175868,NA,0.00725705287760047
MDG,Madagascar,450,2020,35563,27691019,0.12842792098044495,249,450,193526,NA,0.0069887641187924504
MWI,Malawi,454,1990,1127724,9404499,11.991324577736677,874614,454,143436,NA,0.015251849141565117
MWI,Malawi,454,1995,241624,9844418,2.4544264577144124,1018,454,150825,NA,0.015320865083136454
MWI,Malawi,454,2000,232620,11148751,2.086511753648458,3900,454,186229,NA,0.016704023616636518
MWI,Malawi,454,2005,221661,12625950,1.7555985886210541,9571,454,222023,NA,0.017584656996107225
MWI,Malawi,454,2010,217722,14539609,1.497440543277333,15102,454,260531,NA,0.017918707442545395
MWI,Malawi,454,2015,197328,16745305,1.178407917920874,23489,454,297471,NA,0.017764442033154963
MWI,Malawi,454,2020,191362,19129955,1.0003264513690702,44385,454,311052,NA,0.016259944155644905
MUS,Mauritius*,480,1990,3613,1055869,0.3421826003036362,~,480,110707,NA,0.10484918110106461
MUS,Mauritius*,480,1995,7493,1128676,0.663875195361645,~,480,114073,NA,0.10106797699251158
MUS,Mauritius*,480,2000,15543,1185147,1.3114828793390187,~,480,119003,NA,0.10041201639965337
MUS,Mauritius*,480,2005,19647,1222010,1.607760983952668,~,480,130649,NA,0.1069132003829756
MUS,Mauritius*,480,2010,24836,1247953,1.9901390517110822,~,480,148186,NA,0.11874325395267289
MUS,Mauritius*,480,2015,28585,1259457,2.2696288956272426,~,480,165869,NA,0.13169881941185765
MUS,Mauritius*,480,2020,28893,1271767,2.2718784179806524,27,480,182973,NA,0.1438730522178984
MYT,Mayotte*,175,1990,15229,94779,16.067905337680287,~,175,1835,NA,0.019360828875594805
MYT,Mayotte*,175,1995,26316,123186,21.362817203253616,~,175,3937,NA,0.03195980062669459
MYT,Mayotte*,175,2000,45474,150331,30.249249988359022,~,175,6214,NA,0.04133545310015898
MYT,Mayotte*,175,2005,63176,178103,35.471609125056844,~,175,6468,NA,0.03631606429987142
MYT,Mayotte*,175,2010,72757,208716,34.85933038195443,~,175,6342,NA,0.03038578738572989
MYT,Mayotte*,175,2015,81386,240011,33.90927915803859,~,175,6545,NA,0.02726958347742395
MYT,Mayotte*,175,2020,111540,272813,40.885148435008595,~,175,6767,NA,0.024804536440712135
MOZ,Mozambique,508,1990,122332,12987292,0.9419361634434646,420,508,2222354,NA,0.17111758170987454
MOZ,Mozambique,508,1995,168256,15483277,1.0866950194070673,128,508,812685,NA,0.052487919708469985
MOZ,Mozambique,508,2000,195702,17711925,1.1049166027972679,207,508,644421,NA,0.03638345352072121
MOZ,Mozambique,508,2005,268694,20493927,1.311090841691785,5969,508,662951,NA,0.03234865626290169
MOZ,Mozambique,508,2010,306471,23531567,1.302382455023076,9991,508,797808,NA,0.03390373450267889
MOZ,Mozambique,508,2015,321794,27042001,1.1899785078774312,20447,508,596949,NA,0.02207488269821453
MOZ,Mozambique,508,2020,338850,31255435,1.0841314478585884,25691,508,640160,NA,0.02048155784745917
REU,Réunion*,638,1990,57210,610584,9.369718171455524,~,638,3087,NA,0.005055815416060689
REU,Réunion*,638,1995,77159,673543,11.455690282580324,~,638,2623,NA,0.0038943319134784266
REU,Réunion*,638,2000,100678,736714,13.665818757346813,~,638,2360,NA,0.003203414079276354
REU,Réunion*,638,2005,115076,791598,14.537176698273619,~,638,2556,NA,0.0032289116445468535
REU,Réunion*,638,2010,123029,830507,14.81372222028231,~,638,2749,NA,0.0033100262851487104
REU,Réunion*,638,2015,127209,863359,14.734195160993282,~,638,2907,NA,0.003367081364762515
REU,Réunion*,638,2020,131769,895308,14.71772842418475,~,638,3064,NA,0.003422285961925952
RWA,Rwanda,646,1990,160024,7288883,2.195452993277571,23601,646,547717,NA,0.07514416132074009
RWA,Rwanda,646,1995,215735,5836490,3.6963140517674153,7792,646,2060363,NA,0.35301405468012453
RWA,Rwanda,646,2000,347076,7933688,4.374711987665761,30118,646,318198,NA,0.04010719856893793
RWA,Rwanda,646,2005,423187,8840220,4.787064122838572,49507,646,289100,NA,0.03270280603876374
RWA,Rwanda,646,2010,426901,10039338,4.252282371606574,55688,646,334244,NA,0.033293430303870636
RWA,Rwanda,646,2015,514647,11369066,4.526730691861583,145151,646,503667,NA,0.04430152837533004
RWA,Rwanda,646,2020,513907,12952209,3.9677170125960752,145552,646,492489,NA,0.038023552584736706
SYC,Seychelles,690,1990,3721,70572,5.272629371422094,~,690,35633,NA,0.5049169642351075
SYC,Seychelles,690,1995,5148,76653,6.715979805095691,~,690,27798,NA,0.36264725451058666
SYC,Seychelles,690,2000,6574,80998,8.116249783945282,~,690,19244,NA,0.2375861132373639
SYC,Seychelles,690,2005,8997,88652,10.148671208771376,~,690,23487,NA,0.26493480124531876
SYC,Seychelles,690,2010,11420,91273,12.511914805035444,~,690,25932,NA,0.284114688900332
SYC,Seychelles,690,2015,12791,94981,13.466903907097208,~,690,27483,NA,0.289352607363578
SYC,Seychelles,690,2020,13050,98340,13.270286760219646,~,690,29258,NA,0.29751881228391297
SOM,Somalia,706,1990,478294,7225089,6.619904612939716,460000,706,848055,NA,0.11737640878887444
SOM,Somalia,706,1995,19527,7491647,0.2606502949217976,626,706,968956,NA,0.12933818157742882
SOM,Somalia,706,2000,20097,8872250,0.22651525824903493,568,706,1006128,NA,0.11340167375806588
SOM,Somalia,706,2005,20768,10446856,0.198796652313385,591,706,1060953,NA,0.10155715748355294
SOM,Somalia,706,2010,48106,12043886,0.3994225783937178,26048,706,1595328,NA,0.1324595732639781
SOM,Somalia,706,2015,40990,13797204,0.2970891783581659,18201,706,2008490,NA,0.14557224782644368
SOM,Somalia,706,2020,58590,15893219,0.36864778620366334,35672,706,2034221,NA,0.12799301387591777
SSD,South Sudan,728,1990,NA,5492620,NA,~,728,514943,NA,0.09375179786695602
SSD,South Sudan,728,1995,NA,5118084,NA,~,728,438044,NA,0.0855874971962164
SSD,South Sudan,728,2000,NA,6199396,NA,~,728,342628,NA,0.05526796481463678
SSD,South Sudan,728,2005,NA,7535931,NA,~,728,228537,NA,0.030326312701111514
SSD,South Sudan,728,2010,230732,9508372,2.4266194044574614,~,728,402616,NA,0.04234331597459586
SSD,South Sudan,728,2015,844112,10715657,7.8773704682783325,263855,728,1060678,NA,0.09898394470819662
SSD,South Sudan,728,2020,882252,11193729,7.881663027575529,301995,728,2575870,NA,0.23011723796422087
UGA,Uganda,800,1990,544273,17354395,3.136225722648355,145718,800,311591,NA,0.017954587296186354
UGA,Uganda,800,1995,606987,20413157,2.9735087032348795,229350,800,361969,NA,0.01773214206896072
UGA,Uganda,800,2000,584280,23650159,2.4705119318648134,239095,800,517776,NA,0.021893129767119112
UGA,Uganda,800,2005,593308,27684590,2.1430983807237167,259065,800,586602,NA,0.02118875518835569
UGA,Uganda,800,2010,492930,32428164,1.5200675560910573,156605,800,731768,NA,0.02256581655378331
UGA,Uganda,800,2015,851175,38225447,2.226723470362557,512966,800,786229,NA,0.020568209444352607
UGA,Uganda,800,2020,1720313,45741000,3.760986860803218,1381122,800,781440,NA,0.017084016527841542
TZA,United Republic of Tanzania*,834,1990,574025,25203848,2.277529209031891,265184,834,203043,NA,0.008056031761499275
TZA,United Republic of Tanzania*,834,1995,1106043,29649128,3.730440234195083,829671,834,229151,NA,0.007728760184785199
TZA,United Republic of Tanzania*,834,2000,949600,33499177.000000004,2.8346965061261056,702282,834,215460,NA,0.006431799802126482
TZA,United Republic of Tanzania*,834,2005,771153,38450323,2.005582631906629,549131,834,234918,NA,0.006109649586038588
TZA,United Republic of Tanzania*,834,2010,309847,44346532,0.6986949960371197,110533,834,262172,NA,0.005911894080015095
TZA,United Republic of Tanzania*,834,2015,384567,51482638,0.7469838666775389,213995,834,294102,NA,0.005712644328754094
TZA,United Republic of Tanzania*,834,2020,426017,59734213,0.7131875998768076,271729,834,327863,NA,0.0054886970721452375
ZMB,Zambia,894,1990,279463,8036849,3.4772707562379233,138049,894,85201,NA,0.010601294114148467
ZMB,Zambia,894,1995,244338,9096608,2.686034178893935,129965,894,140895,NA,0.01548874041840651
ZMB,Zambia,894,2000,343703,10415942,3.2997783589808773,251199,894,160201,NA,0.015380365981300588
ZMB,Zambia,894,2005,252895,11856244,2.1330110952507386,155864,894,181499,NA,0.015308305058499134
ZMB,Zambia,894,2010,149962,13605986,1.102176644897327,48182,894,182766,NA,0.013432764078986999
ZMB,Zambia,894,2015,132107,15879370,0.8319410656720009,28858,894,184371,NA,0.011610725110630963
ZMB,Zambia,894,2020,187955,18383956,1.0223860413939199,62596,894,200700,NA,0.010917127956572568
ZWE,Zimbabwe,716,1990,634621,10432409,6.083168326701916,190950,716,204363,NA,0.019589243481539117
ZWE,Zimbabwe,716,1995,431226,11410721,3.7791301706526697,514,716,287995,NA,0.02523898358394706
ZWE,Zimbabwe,716,2000,410109,11881482,3.4516653730569975,4195,716,351985,NA,0.029624671400419578
ZWE,Zimbabwe,716,2005,402226,12076697,3.330596105872326,13968,716,500773,NA,0.04146605648878994
ZWE,Zimbabwe,716,2010,398307,12697728,3.1368367632382737,4851,716,754643,NA,0.05943134078789528
ZWE,Zimbabwe,716,2015,400482,13814642,2.8989676315897293,7209,716,1167064,NA,0.08448022033433801
ZWE,Zimbabwe,716,2020,416141,14862927,2.799859004891836,20492,716,1243314,NA,0.08365202897114411
AGO,Angola,24,1990,33517,11848385,0.282882435032285,12000,24,824886,NA,0.0696201212232722
AGO,Angola,24,1995,39813,13945205,0.2854959823107656,11404,24,688581,NA,0.04937761761121475
AGO,Angola,24,2000,46108,16395476.999999998,0.2812239009575629,12579,24,913206,NA,0.05569865396413902
AGO,Angola,24,2005,62331,19433604,0.32073824289102526,14869,24,716766,NA,0.036882813913466594
AGO,Angola,24,2010,336367,23356247,1.4401586008231544,19396,24,651383,NA,0.02788902686292023
AGO,Angola,24,2015,632178,27884380,2.2671402412390016,45698,24,618288,NA,0.022173274069568698
AGO,Angola,24,2020,656434,32866267.999999996,1.9972879184214043,55994,24,668066,NA,0.020326798284490348
