alpha3,name,country_code,year,fb,pop,fb_share,refugee,disp,imm,disp_share
UKR,Ukraine,804,1995,6172338,50903785,12.125499115635506,5193,5606432,6172338,0.11013782177494266
UKR,Ukraine,804,2000,5527087,48838065,11.31717032605612,3031,5596883,5527087,0.11460083441061802
UKR,Ukraine,804,2005,5050302,46890772,10.770353706268688,3964,5567629,5050302,0.11873613426539448
UKR,Ukraine,804,2010,4818767,45792090,10.523142752383654,6003,5433315,4818767,0.11865182392854312
UKR,Ukraine,804,2015,4915142,44921639,10.94159097801396,9775,5813288,4915142,0.12940952577442688
UKR,Ukraine,804,2019,4964293,43993638,11.284115671452314,9395,5978783,4964293,0.13590108187915717
NA,Northern Europe,924,1990,6645605,92036288,7.220635625808811,207043,NA,6645605,NA
NA,Northern Europe,924,1995,7194824,93176747.99999999,7.721694687176677,396827,NA,7194824,NA
NA,Northern Europe,924,2000,7900973,94454236,8.364868887404901,499978,NA,7900973,NA
NA,Northern Europe,924,2005,9588814,96307385.99999999,9.956467928638414,501986,NA,9588814,NA
NA,Northern Europe,924,2010,11344850,100398311.99999999,11.299841375819149,434022,NA,11344850,NA
NA,Northern Europe,924,2015,13269401,103518965.99999999,12.818328382453126,651984,NA,13269401,NA
NA,Northern Europe,924,2019,15094924,105768505.00000001,14.271662438643713,596732,NA,15094924,NA
CISL,Channel Islands,830,1990,61660,140671,43.83277292405684,0,18726,61660,0.13311912192278436
CISL,Channel Islands,830,1995,60519,143484,42.178221962030605,0,15626,60519,0.10890412868333751
CISL,Channel Islands,830,2000,64301,148443,43.31696341356614,0,12825,64301,0.08639679877124552
CISL,Channel Islands,830,2005,70941,151678,46.7707907540975,0,14846,70941,0.09787840029536254
CISL,Channel Islands,830,2010,77581,159734,48.56887074761791,0,15698,77581,0.09827588365657906
CISL,Channel Islands,830,2015,82307,165385,49.76690751881973,0,19886,82307,0.12024065060313813
CISL,Channel Islands,830,2019,83833,172259,48.66683308274169,0,22545,83833,0.13087850271974177
DNK,Denmark,208,1990,235189,5141115,4.574669113606679,31827,201761,235189,0.039244599663691634
DNK,Denmark,208,1995,303108,5232704,5.792569195582246,50924,207983,303108,0.03974675425936571
DNK,Denmark,208,2000,371026,5341194,6.946499228449669,70021,218071,371026,0.04082813692968276
DNK,Denmark,208,2005,440383,5421702,8.122596926205093,43972,225671,440383,0.04162364512103395
DNK,Denmark,208,2010,500772,5554844,9.015050647686955,17922,234437,500772,0.04220406549670882
